session_id,user_id,session_date,landing_page,utm_source,utm_campaign,pageviews,conversions
S00001,U0214,2025-07-01,/pricing,google,brand-q3,7,0
S00002,U0096,2025-07-01,/enterprise,linkedin,abm-q3,1,0
S00003,U0291,2025-07-01,/blog,google,demo-q3,6,0
S00004,U0329,2025-07-01,/blog,,,8,1
S00005,U0069,2025-07-01,/blog,twitter,test-q3,5,0
S00006,U0058,2025-07-01,/demo,google,exp-q3,8,0
S00007,U0368,2025-07-01,/pricing,google,brand-q3,6,0
S00008,U0291,2025-07-01,/enterprise,linkedin,cxo-q3,3,0
S00009,U0328,2025-07-01,/solutions,facebook,top-q3,9,0
S00010,U0206,2025-07-01,/enterprise,google,demo-q3,3,2
S00011,U0245,2025-07-01,/demo,linkedin,cxo-q3,1,0
S00012,U0121,2025-07-01,/solutions,linkedin,abm-q3,6,0
S00013,U0371,2025-07-01,/blog,google,brand-q3,5,0
S00014,U0355,2025-07-01,/pricing,google,brand-q3,2,0
S00015,U0082,2025-07-01,/solutions,,,5,0
S00016,U0328,2025-07-01,/demo,facebook,retarget-q3,10,0
S00017,U0491,2025-07-01,/pricing,twitter,test-q3,3,0
S00018,U0311,2025-07-01,/demo,facebook,top-q3,9,1
S00019,U0388,2025-07-01,/blog,linkedin,cxo-q3,4,0
S00020,U0306,2025-07-01,/,,,8,0
S00021,U0186,2025-07-01,/,organic,,2,0
S00022,U0281,2025-07-01,/blog,linkedin,cxo-q3,10,0
S00023,U0085,2025-07-01,/demo,,,8,0
S00024,U0106,2025-07-01,/enterprise,organic,,8,0
S00025,U0262,2025-07-01,/solutions,google,brand-q3,8,0
S00026,U0213,2025-07-01,/solutions,organic,,1,0
S00027,U0345,2025-07-01,/demo,google,brand-q3,7,0
S00028,U0002,2025-07-01,/enterprise,linkedin,cxo-q3,10,0
S00029,U0217,2025-07-01,/demo,google,demo-q3,9,2
S00030,U0479,2025-07-01,/,twitter,test-q3,1,0
S00031,U0093,2025-07-01,/pricing,facebook,top-q3,6,2
S00032,U0196,2025-07-01,/solutions,facebook,top-q3,7,0
S00033,U0494,2025-07-01,/enterprise,,,3,0
S00034,U0179,2025-07-01,/,google,exp-q3,9,0
S00035,U0066,2025-07-01,/enterprise,linkedin,cxo-q3,1,0
S00036,U0153,2025-07-01,/solutions,,,7,0
S00037,U0422,2025-07-01,/pricing,linkedin,cxo-q3,8,0
S00038,U0142,2025-07-01,/pricing,google,demo-q3,1,0
S00039,U0215,2025-07-01,/blog,google,brand-q3,4,0
S00040,U0052,2025-07-01,/blog,google,brand-q3,8,0
S00041,U0361,2025-07-01,/,linkedin,cxo-q3,1,0
S00042,U0277,2025-07-02,/pricing,google,brand-q3,3,0
S00043,U0149,2025-07-02,/pricing,organic,,6,0
S00044,U0396,2025-07-02,/enterprise,facebook,retarget-q3,4,0
S00045,U0074,2025-07-02,/enterprise,,,4,0
S00046,U0141,2025-07-02,/,,,10,1
S00047,U0467,2025-07-02,/pricing,facebook,top-q3,9,0
S00048,U0498,2025-07-02,/demo,facebook,top-q3,9,0
S00049,U0214,2025-07-02,/solutions,google,exp-q3,5,0
S00050,U0387,2025-07-02,/blog,twitter,test-q3,4,0
S00051,U0154,2025-07-02,/enterprise,google,exp-q3,8,1
S00052,U0288,2025-07-02,/solutions,facebook,top-q3,9,0
S00053,U0199,2025-07-02,/pricing,linkedin,abm-q3,4,0
S00054,U0041,2025-07-02,/solutions,facebook,retarget-q3,2,0
S00055,U0425,2025-07-02,/pricing,google,brand-q3,5,0
S00056,U0310,2025-07-02,/blog,google,brand-q3,2,0
S00057,U0390,2025-07-02,/blog,,,4,0
S00058,U0446,2025-07-02,/demo,linkedin,abm-q3,1,0
S00059,U0098,2025-07-02,/enterprise,google,demo-q3,8,1
S00060,U0357,2025-07-02,/blog,linkedin,cxo-q3,7,1
S00061,U0283,2025-07-02,/demo,linkedin,abm-q3,7,0
S00062,U0333,2025-07-02,/demo,linkedin,abm-q3,5,0
S00063,U0452,2025-07-02,/solutions,twitter,test-q3,2,0
S00064,U0370,2025-07-02,/solutions,facebook,retarget-q3,4,0
S00065,U0212,2025-07-02,/,organic,,4,0
S00066,U0009,2025-07-02,/demo,,,10,0
S00067,U0214,2025-07-02,/demo,google,exp-q3,4,0
S00068,U0195,2025-07-02,/blog,linkedin,cxo-q3,8,0
S00069,U0484,2025-07-02,/enterprise,facebook,retarget-q3,5,0
S00070,U0251,2025-07-02,/enterprise,twitter,test-q3,8,0
S00071,U0408,2025-07-02,/demo,google,exp-q3,3,0
S00072,U0251,2025-07-02,/pricing,,,1,0
S00073,U0430,2025-07-02,/,google,brand-q3,1,0
S00074,U0432,2025-07-02,/enterprise,linkedin,cxo-q3,2,0
S00075,U0005,2025-07-02,/pricing,,,8,0
S00076,U0317,2025-07-02,/enterprise,organic,,8,0
S00077,U0009,2025-07-02,/,,,9,0
S00078,U0009,2025-07-02,/blog,linkedin,abm-q3,9,2
S00079,U0009,2025-07-02,/blog,facebook,top-q3,3,0
S00080,U0050,2025-07-02,/blog,google,exp-q3,4,0
S00081,U0270,2025-07-02,/demo,facebook,retarget-q3,5,0
S00082,U0041,2025-07-02,/demo,facebook,top-q3,8,0
S00083,U0357,2025-07-02,/pricing,linkedin,abm-q3,2,0
S00084,U0440,2025-07-02,/enterprise,google,brand-q3,2,0
S00085,U0194,2025-07-02,/blog,twitter,test-q3,1,0
S00086,U0088,2025-07-03,/,twitter,test-q3,7,0
S00087,U0170,2025-07-03,/blog,google,demo-q3,9,1
S00088,U0118,2025-07-03,/pricing,organic,,8,0
S00089,U0474,2025-07-03,/,linkedin,abm-q3,9,0
S00090,U0017,2025-07-03,/pricing,facebook,retarget-q3,1,1
S00091,U0301,2025-07-03,/pricing,facebook,top-q3,2,0
S00092,U0289,2025-07-03,/pricing,organic,,7,0
S00093,U0277,2025-07-03,/demo,facebook,top-q3,3,0
S00094,U0353,2025-07-03,/enterprise,google,demo-q3,9,0
S00095,U0178,2025-07-03,/,google,demo-q3,7,0
S00096,U0039,2025-07-03,/demo,organic,,10,1
S00097,U0204,2025-07-03,/demo,google,brand-q3,5,0
S00098,U0231,2025-07-03,/solutions,linkedin,cxo-q3,6,0
S00099,U0193,2025-07-03,/solutions,google,exp-q3,10,0
S00100,U0044,2025-07-03,/blog,linkedin,abm-q3,4,0
S00101,U0043,2025-07-03,/demo,google,exp-q3,7,0
S00102,U0325,2025-07-03,/pricing,facebook,top-q3,6,0
S00103,U0047,2025-07-03,/,linkedin,abm-q3,8,0
S00104,U0139,2025-07-03,/,google,exp-q3,2,0
S00105,U0230,2025-07-03,/blog,,,9,0
S00106,U0014,2025-07-03,/,facebook,retarget-q3,9,0
